"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"MP^D","Mississippi Power Company","27","32400000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mp^d",
"MG","Mistras Group Inc","26.53","741195140","n/a","2009","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/mg",
"MTU","Mitsubishi UFJ Financial Group Inc","4.83","829484880","n/a","1992","Finance","Commercial Banks","http://www.nasdaq.com/symbol/mtu",
"MFG","Mizuho Financial Group, Inc.","3.29","235017860","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/mfg",
"MTP","MLP & Strategic Equity Fund Inc.","17.53","259636830","n/a","2007","n/a","n/a","http://www.nasdaq.com/symbol/mtp",
"MBT","Mobile TeleSystems","17.1","6646735800","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/mbt",
"MOD","Modine Manufacturing Company","6.66","311468220","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/mod",
"MHK","Mohawk Industries, Inc.","69.76","4811486720","n/a","n/a","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/mhk",
"MOH","Molina Healthcare Inc","27.12","1257012000","n/a","2003","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/moh",
"TAP","Molson Coors Brewing  Company","40.36","6291115000","n/a","1996","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/tap",
"TAP/A","Molson Coors Brewing  Company","41","105944000","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/tap/a",
"MCP","Molycorp, Inc","20.25","1952019000","n/a","2010","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/mcp",
"MCP^A","Molycorp, Inc","52.15","107950500","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mcp^a",
"MGI","Moneygram International, Inc.","15.06","871010160","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/mgi",
"MNR","Monmouth Real Estate Investment Corporation","11.6","466749200","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/mnr",
"MNR^A","Monmouth Real Estate Investment Corporation","25.98","34371540","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mnr^a",
"MNR^B","Monmouth Real Estate Investment Corporation","26.8","53600000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mnr^b",
"MON","Monsanto Company","82.74","44096283000","n/a","n/a","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/mon",
"MWW","Monster Worldwide, Inc.","8.1","982133100","n/a","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/mww",
"MTS","Montgomery Street Income Securities, Inc.","16.207","168099004","n/a","1973","n/a","n/a","http://www.nasdaq.com/symbol/mts",
"MRH","Montpelier Re Holdings Ltd.","21.24","1229753520","n/a","2002","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/mrh",
"MRH^A","Montpelier Re Holdings Ltd.","27.28","163680000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mrh^a",
"MCO","Moody&#39;s Corporation","36.79","8266418680","n/a","1993","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/mco",
"MOG/A","Moog Inc.","39.95","1648376950","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/mog/a",
"MOG/B","Moog Inc.","40.09","160079370","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mog/b",
"MS","Morgan Stanley","13.93","27550419680","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/ms",
"MS^A","Morgan Stanley","17.16","686400000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ms^a",
"MSJ","Morgan Stanley","25.11","866295000","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/msj",
"MSK","Morgan Stanley","24.78","817740000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/msk",
"MSZ","Morgan Stanley","24.8","992000000","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/msz",
"MWG","Morgan Stanley","24.58","565340000","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/mwg",
"MWO","Morgan Stanley","24.45","489000000","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/mwo",
"MWR","Morgan Stanley","24.59","786880000","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/mwr",
"APF","Morgan Stanley Asia-Pacific Fund, Inc.","13.71","282521970","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/apf",
"CAF","Morgan Stanley China A Share Fund Inc.","18.85","412456850","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/caf",
"RNE","Morgan Stanley Eastern Europe Fund, Inc.","15.08","62069280","n/a","1996","n/a","n/a","http://www.nasdaq.com/symbol/rne",
"MSD","Morgan Stanley Emerging Markets Debt Fund, Inc.","11.2","265104000","n/a","1993","n/a","n/a","http://www.nasdaq.com/symbol/msd",
"EDD","Morgan Stanley Emerging Markets Domestic Debt Fund, Inc.","16.01","1159636320","n/a","2007","n/a","n/a","http://www.nasdaq.com/symbol/edd",
"MSF","Morgan Stanley Emerging Markets Fund, Inc.","14.2","244595000","n/a","1991","n/a","n/a","http://www.nasdaq.com/symbol/msf",
"FFD","Morgan Stanley Frontier Emerging markets Fund, Inc.","11.89","83883950","n/a","2008","n/a","n/a","http://www.nasdaq.com/symbol/ffd",
"IIF","Morgan Stanley India Investment Fund, Inc.","15.41","13191869190","n/a","1994","n/a","n/a","http://www.nasdaq.com/symbol/iif",
"MOS","Mosaic Company (The)","55.35","16422455700","n/a","n/a","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/mos",
"MSI","Motorola, Inc.","46.71","13642216020","n/a","1972","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/msi",
"MOV","Movado Group Inc.","25.42","470117480","n/a","n/a","Consumer Non-Durables","Consumer Specialties","http://www.nasdaq.com/symbol/mov",
"MPG","MPG Office Trust, Inc.","2.22","112789320","n/a","2003","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/mpg",
"MPG^A","MPG Office Trust, Inc.","14.6","146000000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mpg^a",
"MRC","MRC Global Inc.","21.45","2176896150","n/a","1996","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/mrc",
"ICB","MS Income Securities, Inc.","18.27","164959830","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/icb",
"DKP","MS Structured Asset Corp Saturns GE Cap Corp Series 2002-14","25.15","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/dkp",
"HJG","MS Structured Asset Corp Saturns GE Cap Corp Series 2002-14","25.1","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/hjg",
"HJL","MS Structured Asset Corp Saturns GE Cap Corp Series 2002-14","24.66","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/hjl",
"HJN","MS Structured Asset Corp Saturns GE Cap Corp Series 2002-14","24.9881","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/hjn",
"HJO","MS Structured Asset Corp Saturns GE Cap Corp Series 2002-14","25.15","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/hjo",
"HJT","MS Structured Asset Corp Saturns GE Cap Corp Series 2002-14","26.0801","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/hjt",
"HJV","MS Structured Asset Corp Saturns GE Cap Corp Series 2002-14","23.095","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/hjv",
"MJH","MS Structured Asset Corp Saturns GE Cap Corp Series 2002-14","24.98","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/mjh",
"MKS","MS Structured Asset Corp Saturns GE Cap Corp Series 2002-14","23.05","0","n/a","1994","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/mks",
"HJJ","MS Structured Asset Corp SATURNS Goldman Sachs","24.73","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/hjj",
"HJR","MS Structured Asset Corp.","25.44","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/hjr",
"MSM","MSC Industrial Direct Company, Inc.","62.81","2934420390","n/a","1995","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/msm",
"MSCI","MSCI Inc","33.77","4104608420","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/msci",
"MLI","Mueller Industries, Inc.","42.5","1625540000","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/mli",
"MWA","MUELLER WATER PRODUCTS","3.56","557752320","n/a","2006","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/mwa",
"MUR","Murphy Oil Corporation","49.94","9696749920","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/mur",
"MVO","MV Oil Trust","37.19","427685000","n/a","2007","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mvo",
"MVC","MVC Capital","12.75","304941750","n/a","1993","n/a","n/a","http://www.nasdaq.com/symbol/mvc",
"MYE","Myers Industries, Inc.","17.19","576122850","n/a","1971","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/mye",
"NBR","Nabors Industries Ltd.","13.68","3971399760","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/nbr",
"NC","NACCO Industries, Inc.","120.63","819922110","n/a","n/a","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/nc",
"NTE","Nam Tai Electronics, Inc.","6.32","283161280","n/a","1988","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/nte",
"NBG","National Bank of Greece SA","1.63","75946590","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/nbg",
"NBG^A","National Bank of Greece SA","3.65","91250000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nbg^a",
"NCC^C/CL","National City Corporation","25.22","522054000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ncc^c/cl",
"NFP","National Financial Partners Corporation","13.88","563583520","n/a","2003","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/nfp",
"NFG","National Fuel Gas Company","46.91","3903662560","n/a","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/nfg",
"NGG","National Grid Transco, PLC","53.3","4145514100","n/a","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/ngg",
"NHI","National Health Investors, Inc.","51.86","1440981960","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/nhi",
"NPK","National Presto Industries, Inc.","72.94","501973080","n/a","n/a","Capital Goods","Ordnance And Accessories","http://www.nasdaq.com/symbol/npk",
"NNN","National Retail Properties","28.43","3042493310","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/nnn",
"NNN^D","National Retail Properties","26.33","302795000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nnn^d",
"NRC","National Rural Utilities Cooperative Finance Corp","25.7","82471300","n/a","n/a","Finance","Diversified Financial Services","http://www.nasdaq.com/symbol/nrc",
"NRU","National Rural Utilities Cooperative Finance Corp","25.53","137862000","n/a","n/a","Finance","Diversified Financial Services","http://www.nasdaq.com/symbol/nru",
"SID","National Steel Company","5.57","2077342640","n/a","n/a","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/sid",
"NOV","National-Oilwell, Inc.","66.99","28552075860","n/a","n/a","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/nov",
"NSM","Nationstar Mortgage Holdings Inc.","24.6","2193508200","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/nsm",
"NW^C","Natl Westminster Pfd","23.15","227541350","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/nw^c",
"NGS","Natural Gas Services Group, Inc.","15.16","186604440","n/a","2002","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/ngs",
"NRP","Natural Resource Partners LP","22.5","2385630000","n/a","2002","Energy","Coal Mining","http://www.nasdaq.com/symbol/nrp",
"NTZ","Natuzzi, S.p.A.","2.65","60056950","n/a","1993","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/ntz",
"NLS","Nautilus Group, Inc. (The)","3.47","106820480","n/a","n/a","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/nls",
"NCI","Navigant Consulting, Inc.","12.66","656357700","n/a","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/nci",
"NNA","Navios Maritime Acquisition Corporation","2.49","100887330","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/nna",
"NNA/U","Navios Maritime Acquisition Corporation","2.71","5227590","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nna/u",
"NNA/WS","Navios Maritime Acquisition Corporation","0.075","2797200","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nna/ws",
"NM","Navios Maritime Holdings Inc.","3.3","337949700","n/a","1986","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/nm",
"NMM","Navios Maritime Partners LP","13.53","634381110","n/a","2007","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/nmm",
"NAV","Navistar International Corporation","23.67","1621986750","n/a","n/a","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/nav",
"NAV^D","Navistar International Corporation","7.85","1413000","n/a","n/a","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/nav^d",
"NCS","NCI Building Systems, Inc.","10.79","219975730","n/a","1972","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/ncs",
"NCR","NCR Corporation","22.73","3609524000","n/a","n/a","Miscellaneous","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/ncr",
"NP","Neenah Paper, Inc.","27.36","432972000","n/a","n/a","Basic Industries","Paper","http://www.nasdaq.com/symbol/np",
"NNI","Nelnet, Inc.","23.34","835992120","n/a","2003","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/nni",
"NPTN","NeoPhotonics Corporation","4.76","142086000","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/nptn",
"N","Netsuite Inc","51.16","3591585480","n/a","2007","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/n",
"NSR","Neustar, Inc.","33.01","2208567060","n/a","2005","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/nsr",
"HYB","New America High Income Fund, Inc. (The)","10.36","239678600","n/a","1988","n/a","n/a","http://www.nasdaq.com/symbol/hyb",
"GF","New Germany Fund, Inc. (The)","13.45","234258650","n/a","1990","n/a","n/a","http://www.nasdaq.com/symbol/gf",
"IRL","New Ireland Fund, Inc. (The)","7.37","47138520","n/a","1990","n/a","n/a","http://www.nasdaq.com/symbol/irl",
"NMFC","New Mountain Finance Corporation","14.94","159828120","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nmfc",
"EDU","New Oriental Education & Technology Group, Inc.","24.05","3252065050","n/a","2006","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/edu",
"NWY","New York & Company, Inc.","3.6","224611200","n/a","2004","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/nwy",
"NYB","New York Community Bancorp, Inc.","12.39","5440758750","n/a","n/a","Finance","Banks","http://www.nasdaq.com/symbol/nyb",
"NYB^U","New York Community Bancorp, Inc.","47","225600000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nyb^u",
"NYT","New York Times Company (The)","7.7","1133632500","n/a","n/a","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/nyt",
"NCT","Newcastle Investment Corporation","7.16","889121640","n/a","2002","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/nct",
"NCT^B","Newcastle Investment Corporation","25.81","64525000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nct^b",
"NCT^C","Newcastle Investment Corporation","24.69","39504000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nct^c",
"NCT^D","Newcastle Investment Corporation","24.9","49800000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nct^d",
"NWL","Newell Rubbermaid Inc.","18.03","5226897000","n/a","1972","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/nwl",
"NFX","Newfield Exploration Company","29.23","3940437840","n/a","1993","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/nfx",
"NJR","NewJersey Resources Corporation","44.64","1854881280","n/a","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/njr",
"NEU","NewMarket Corporation","224.51","3009556550","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/neu",
"NEM","Newmont Mining Corporation (Holding Company)","47.72","23412815880","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/nem",
"NR","Newpark Resources, Inc.","6.29","565452130","n/a","n/a","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/nr",
"NXY","Nexen, Inc.","16.46","8689118780","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/nxy",
"NXY^B","Nexen, Inc.","25.5108","469398720","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nxy^b",
"HCF","NexPoint Credit Stategies Fund","6.25","399256250","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hcf",
"NEE","NextEra Energy, Inc.","67.86","28302777360","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/nee",
"NEE^C","NextEra Energy, Inc.","26.22","314640000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nee^c",
"NEE^F","NextEra Energy, Inc.","28.95","405300000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nee^f",
"NEE^G","NextEra Energy, Inc.","26.55","424800000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nee^g",
"NEE^H","NextEra Energy, Inc.","26.25","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/nee^h",
"NFJ","NFJ Dividend, Interest & Premium Strategy Fund","16.9","1597455600","n/a","2005","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/nfj",
"NGL","NGL ENERGY PARTNERS LP","22.7","528819200","n/a","1993","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/ngl",
"NMK^B","Niagara Mohawk Holdings, Inc.","94.6","33110000","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/nmk^b",
"NMK^C","Niagara Mohawk Holdings, Inc.","98.46","23630400","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/nmk^c",
"NJ","Nidec Corporation (Nihon Densan Kabushiki Kaisha)","19.53","193171230","n/a","n/a","Consumer Durables","Metal Fabrications","http://www.nasdaq.com/symbol/nj",
"NLSN","Nielsen Holdings N.V.","26.77","9657866440","n/a","2011","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/nlsn",
"NKE","Nike, Inc.","90.28","33223040000","n/a","n/a","Consumer Non-Durables","Shoe Manufacturing","http://www.nasdaq.com/symbol/nke",
"NTT","Nippon Telegraph and Telephone Corporation","23.54","1109275420","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/ntt",
"NKA","Niska Gas Storage Partners LLC","12.85","443222200","n/a","2010","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/nka",
